epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,255.081,1.36823,3.51691,0.00263,0.67828,0.46736,0.51153,0.23503,1.88804,2.48767,0.00525,0.00999404,0.00333135,0.00999404,0.00333135,0.00999404,0.00333135,0.00999404,0.00333135
2,466.666,1.27671,0.71816,0.00246,0.79417,0.70007,0.77836,0.38109,1.85435,1.32747,0.00523,0.0197466,0.0065822,0.0197466,0.0065822,0.0197466,0.0065822,0.0197466,0.0065822
3,673.476,1.29156,0.65718,0.00244,0.73628,0.44496,0.50148,0.25523,1.90107,2.50641,0.00616,0.0292517,0.00975056,0.0292517,0.00975056,0.0292517,0.00975056,0.0292517,0.00975056
4,882.309,1.2806,0.6252,0.00243,0.51693,0.31008,0.33918,0.12887,2.18229,3.08606,0.00666,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1092.3,1.23026,0.59101,0.00231,0.64309,0.27259,0.32623,0.15216,2.19685,3.41504,0.0071,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1300.09,1.18841,0.56147,0.00222,0.78964,0.57879,0.66468,0.2863,2.24348,1.82614,0.00695,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1506.88,1.15,0.52741,0.00212,0.61255,0.33532,0.36677,0.1597,2.05313,3.13873,0.00657,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1714.8,1.11963,0.52014,0.00205,0.71759,0.49335,0.52435,0.27004,1.95169,2.70232,0.00616,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1922.65,1.1041,0.51382,0.00204,0.67016,0.3581,0.39586,0.19199,2.13438,3.05928,0.0068,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,2131.97,1.08076,0.49861,0.00199,0.67522,0.49467,0.51683,0.22189,2.24303,2.45148,0.00713,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2340.23,1.07283,0.49428,0.00195,0.60014,0.24675,0.28438,0.12937,2.10713,3.9711,0.00671,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,2550.32,1.05381,0.4898,0.00192,0.59059,0.32069,0.34086,0.15255,1.94206,3.21899,0.00605,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,2758.94,1.02769,0.47158,0.00187,0.45621,0.17506,0.17701,0.07809,2.28153,4.58964,0.00727,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,2970.01,1.03173,0.46384,0.00187,0.80441,0.5056,0.5668,0.30658,1.98434,2.53829,0.00606,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,3179.32,1.0211,0.47431,0.00185,0.66867,0.3894,0.37859,0.18777,1.99252,3.37279,0.00628,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,3387.44,1.00363,0.45283,0.00181,0.70692,0.44003,0.45633,0.23018,1.89918,3.25549,0.00568,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,3595.54,0.99564,0.44765,0.00179,0.73085,0.39748,0.4309,0.22596,1.95841,3.38334,0.00576,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,3806.56,0.99171,0.44392,0.00179,0.7876,0.45416,0.50408,0.25875,1.99902,3.06775,0.00602,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,4013.68,0.97906,0.42782,0.00174,0.66307,0.34623,0.34289,0.17351,2.07809,3.48804,0.00668,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,4222.17,0.96257,0.43717,0.00171,0.71887,0.41509,0.43879,0.23393,1.97427,3.38677,0.00572,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,4431.63,0.96185,0.43472,0.00174,0.70379,0.32517,0.35503,0.18488,2.0435,3.91825,0.00628,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,4641.02,0.94991,0.43157,0.00169,0.46741,0.18116,0.16988,0.0783,2.06254,4.52019,0.00632,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,4848.4,0.94973,0.42491,0.0017,0.64232,0.26742,0.29565,0.13848,2.01047,4.2167,0.00627,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,5058.37,0.93587,0.41262,0.00165,0.57319,0.27603,0.27375,0.1226,2.11153,3.87609,0.00666,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,5267.72,0.92593,0.40383,0.00163,0.61473,0.29291,0.30804,0.14013,2.05146,4.06863,0.00645,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,5478.7,0.92334,0.40633,0.00162,0.61802,0.40971,0.40434,0.20209,2.01767,3.16002,0.00645,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,5687.87,0.91602,0.39211,0.00163,0.58585,0.24122,0.25653,0.11878,1.95906,4.30431,0.00591,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,5897.53,0.89947,0.38776,0.00159,0.73537,0.40925,0.42789,0.21956,1.97865,3.45802,0.00625,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,6106.6,0.90183,0.39302,0.00159,0.67199,0.26317,0.29574,0.13709,2.06264,4.35899,0.00648,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,6316.51,0.88605,0.38941,0.00156,0.61831,0.20075,0.22849,0.11086,2.06819,4.87586,0.00606,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,6530.04,0.88461,0.38023,0.00154,0.71231,0.35011,0.38385,0.20571,1.99411,3.89525,0.0061,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,6740.35,0.88161,0.37921,0.00154,0.7452,0.27931,0.33617,0.17298,1.91092,4.12881,0.00568,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,6952.62,0.87518,0.36975,0.00153,0.74023,0.38237,0.40807,0.1962,2.11101,3.61981,0.00668,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,7162.64,0.86757,0.36825,0.00152,0.63302,0.2543,0.27872,0.12833,2.03703,4.39405,0.00628,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,7373.79,0.87495,0.37252,0.00153,0.60607,0.20239,0.21718,0.10376,2.05598,4.98426,0.00619,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,7585.4,0.85034,0.36072,0.0015,0.65612,0.26677,0.28042,0.1354,2.04545,4.38251,0.00635,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,7798.34,0.84713,0.3558,0.00148,0.6554,0.20672,0.22742,0.10895,2.0793,4.89067,0.00647,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,8008.45,0.84579,0.35411,0.00146,0.49905,0.23615,0.23218,0.11074,2.03011,4.53495,0.0063,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,8218.8,0.84727,0.34359,0.00147,0.58852,0.22883,0.25115,0.12542,2.03881,4.51933,0.00627,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,8430.71,0.83003,0.34956,0.00143,0.62435,0.20373,0.23086,0.10496,2.10447,4.71913,0.00666,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,8639.82,0.82045,0.34713,0.00143,0.64364,0.24571,0.267,0.11929,2.10122,4.39506,0.00683,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,8849.59,0.81508,0.33345,0.00141,0.64683,0.23301,0.26245,0.12368,2.03717,4.4599,0.00635,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,9060.01,0.81922,0.33633,0.0014,0.55539,0.21927,0.21565,0.10112,2.08359,4.91973,0.00646,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,9269.75,0.81074,0.33099,0.00141,0.64217,0.16819,0.19456,0.08947,2.14699,5.14842,0.00684,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,9482.94,0.80017,0.32174,0.00137,0.6808,0.23181,0.26377,0.12366,2.05514,4.47133,0.0063,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,9695.17,0.80278,0.32936,0.00139,0.70658,0.27842,0.30545,0.15111,2.08519,4.39166,0.00645,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,9904.57,0.79295,0.32361,0.00136,0.70972,0.27991,0.31357,0.15992,2.11209,4.52481,0.00645,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,10121.5,0.79662,0.31639,0.00136,0.70393,0.28827,0.32411,0.16227,2.08485,4.39745,0.00642,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,10332.8,0.78245,0.31548,0.00135,0.71222,0.27633,0.31556,0.15627,2.08127,4.43097,0.00638,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,10544,0.77641,0.31044,0.00132,0.75632,0.28454,0.33373,0.17263,2.02941,4.31929,0.0061,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,10756.1,0.77213,0.30909,0.00133,0.74926,0.25302,0.30737,0.16018,2.05105,4.5276,0.00614,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,10966.7,0.782,0.3117,0.00134,0.73686,0.22823,0.27688,0.14451,2.0476,4.68906,0.00615,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,11177.1,0.75983,0.31741,0.0013,0.72317,0.21285,0.25693,0.13211,2.08831,4.87484,0.0064,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,11388.9,0.75308,0.30254,0.00129,0.61891,0.21688,0.23162,0.11811,2.10054,4.9972,0.00649,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,11599.5,0.75933,0.2973,0.00129,0.62733,0.19208,0.21308,0.10698,2.12554,5.13855,0.00663,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,11811.2,0.74629,0.30157,0.00127,0.67219,0.1994,0.23101,0.11442,2.12665,5.01508,0.00666,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,12021.2,0.742,0.29333,0.00126,0.65588,0.19417,0.22148,0.11035,2.14109,5.04631,0.00671,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
